02,08-12-202212:33:05,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,08-12-202212:33:56,71.000,99.000,1965.000,9701.998,325.660,11.755,21002.000,95.600,11.632,83.800,0.600
80,08-12-202212:33:57,71.000,99.000,1965.000,9701.998,327.194,11.872,21002.000,95.700,11.402,83.800,0.600
80,08-12-202212:33:58,71.000,99.000,1965.000,9701.998,325.907,11.174,21002.000,97.000,11.275,83.800,0.600
80,08-12-202212:33:59,71.000,99.000,1965.000,9701.998,324.078,11.538,21002.000,98.800,11.274,83.800,0.600
80,08-12-202212:34:00,71.000,99.000,1965.000,9701.998,324.981,12.547,21003.000,100.000,10.910,83.800,0.600
80,08-12-202212:34:01,71.000,99.000,1920.000,9701.998,313.559,12.848,21003.000,102.400,10.981,83.800,0.600
80,08-12-202212:34:02,71.000,99.000,1935.000,9701.998,317.172,11.320,21005.000,110.700,9.968,83.800,0.600
80,08-12-202212:34:03,71.000,99.000,1965.000,9701.998,326.234,11.982,21004.000,109.400,11.296,83.800,0.600
80,08-12-202212:34:04,71.000,99.000,1950.000,9701.998,317.985,11.663,21004.000,103.300,11.073,83.800,0.600
80,08-12-202212:34:05,71.000,99.000,1950.000,9701.998,316.091,12.710,21004.000,104.300,10.460,83.800,0.600
80,08-12-202212:34:06,71.000,99.000,1950.000,9701.998,318.734,11.874,21005.000,103.400,10.694,83.800,0.600
80,08-12-202212:34:07,71.000,99.000,1950.000,9701.998,319.360,11.516,21020.000,104.100,11.043,83.800,0.600
80,08-12-202212:34:08,71.000,99.000,1950.000,9701.998,321.600,11.677,21020.000,103.800,10.504,83.800,0.600
80,08-12-202212:34:09,71.000,99.000,1950.000,9701.998,326.878,12.427,21023.000,101.700,11.366,83.800,0.600
80,08-12-202212:34:10,71.000,100.000,1935.000,9701.998,325.751,13.802,21014.000,94.700,12.061,83.800,0.600
80,08-12-202212:34:11,71.000,99.000,1950.000,9701.998,319.065,11.041,21015.000,102.000,11.374,83.800,0.600
80,08-12-202212:34:12,71.000,99.000,1950.000,9701.998,322.089,11.886,21015.000,102.000,10.655,83.800,0.600
80,08-12-202212:34:13,71.000,99.000,1950.000,9701.998,320.873,12.760,21015.000,101.900,11.066,83.800,0.600
80,08-12-202212:34:14,71.000,99.000,1950.000,9701.998,321.748,11.859,21015.000,101.700,11.169,83.800,0.600
80,08-12-202212:34:15,71.000,99.000,1950.000,9701.998,323.642,11.552,21017.000,101.900,11.466,83.900,0.600
80,08-12-202212:34:16,71.000,99.000,1950.000,9701.998,325.430,13.032,21017.000,102.100,10.560,83.900,0.600
80,08-12-202212:34:17,71.000,99.000,1950.000,9701.998,321.296,12.014,21017.000,102.400,10.826,83.900,0.600
80,08-12-202212:34:18,71.000,99.000,1950.000,9701.998,320.872,12.721,21019.000,102.300,10.624,83.900,0.600
80,08-12-202212:34:19,71.000,100.000,1920.000,9701.998,315.488,12.007,21019.000,97.300,11.444,83.900,0.600
80,08-12-202212:34:20,71.000,100.000,1935.000,9701.998,319.789,11.993,21022.000,107.300,11.944,83.900,0.600
80,08-12-202212:34:21,71.000,100.000,1965.000,9701.998,321.637,12.350,21019.000,100.100,11.293,83.900,0.600
80,08-12-202212:34:22,71.000,100.000,1950.000,9701.998,325.928,12.664,21021.000,100.300,11.045,83.900,0.600
80,08-12-202212:34:23,71.000,100.000,1950.000,9701.998,324.143,12.555,21024.000,101.200,10.896,83.900,0.600
80,08-12-202212:34:24,71.000,99.000,1935.000,9701.998,319.498,13.692,21024.000,101.100,11.351,83.900,0.600
80,08-12-202212:34:25,71.000,99.000,1950.000,9701.998,328.409,12.884,21026.000,101.700,11.095,83.900,0.600
80,08-12-202212:34:26,71.000,100.000,1950.000,9701.998,326.277,12.426,21027.000,102.200,11.037,83.900,0.600
80,08-12-202212:34:27,71.000,99.000,1950.000,9701.998,323.012,12.107,21029.000,101.400,11.065,83.900,0.600
80,08-12-202212:34:28,71.000,100.000,1950.000,9701.998,322.573,12.142,21026.000,102.300,10.935,83.900,0.600
80,08-12-202212:34:29,71.000,100.000,1935.000,9701.998,323.256,12.981,21029.000,102.500,10.971,83.900,0.600
80,08-12-202212:34:30,71.000,99.000,1950.000,9701.998,322.641,12.494,21028.000,103.500,10.511,83.900,0.600
80,08-12-202212:34:31,71.000,99.000,1950.000,9701.998,322.617,13.166,21030.000,105.400,11.722,83.900,0.600
80,08-12-202212:34:32,71.000,99.000,1950.000,9701.998,323.155,12.283,21030.000,106.700,10.306,83.900,0.600
80,08-12-202212:34:33,71.000,99.000,1950.000,9701.998,325.793,12.664,21032.000,106.000,10.747,83.900,0.600
80,08-12-202212:34:34,71.000,99.000,1950.000,9701.998,321.693,12.072,21034.000,107.900,10.255,83.900,0.600
80,08-12-202212:34:35,71.000,99.000,1950.000,9701.998,324.227,13.238,21034.000,107.400,10.569,83.900,0.600
80,08-12-202212:34:36,71.000,100.000,1950.000,9701.998,321.723,12.499,21036.000,108.100,10.828,83.900,0.600
80,08-12-202212:34:37,71.000,100.000,1950.000,9701.998,322.535,12.807,21036.000,108.400,9.941,83.900,0.600
80,08-12-202212:34:38,71.000,99.000,1950.000,9701.998,322.021,12.716,21036.000,107.600,11.147,83.900,0.600
80,08-12-202212:34:39,71.000,99.000,1950.000,9701.998,320.384,12.114,21036.000,107.600,10.329,83.900,0.600
80,08-12-202212:34:40,71.000,100.000,1950.000,9701.998,321.506,13.126,21037.000,108.800,10.265,83.900,0.600
80,08-12-202212:34:41,71.000,100.000,1950.000,9701.998,325.645,12.782,21039.000,108.300,10.236,84.000,0.600
80,08-12-202212:34:42,71.000,99.000,1950.000,9701.998,321.328,12.813,21041.000,106.700,10.682,84.000,0.600
80,08-12-202212:34:43,71.000,100.000,1950.000,9701.998,322.228,13.586,21039.000,105.600,10.420,84.000,0.600
80,08-12-202212:34:44,71.000,100.000,1950.000,9701.998,325.791,20.779,21041.000,106.400,11.451,84.000,0.600
80,08-12-202212:34:45,71.000,100.000,1950.000,9701.998,325.642,14.323,21041.000,105.700,10.322,84.000,0.600
80,08-12-202212:34:46,71.000,100.000,1935.000,9701.998,324.630,12.669,21042.000,105.700,10.406,84.000,0.600
80,08-12-202212:34:47,71.000,100.000,1950.000,9701.998,324.585,13.582,21042.000,103.900,10.533,84.000,0.600
80,08-12-202212:34:48,71.000,100.000,1950.000,9701.998,323.735,11.892,21042.000,104.400,10.439,84.000,0.600
80,08-12-202212:34:49,71.000,100.000,1950.000,9701.998,325.299,12.461,21042.000,104.500,10.566,84.000,0.600
80,08-12-202212:34:50,71.000,100.000,1935.000,9701.998,318.148,13.031,21043.000,103.900,10.817,84.000,0.600
80,08-12-202212:34:51,71.000,100.000,1950.000,9701.998,320.226,11.617,21041.000,103.300,10.816,84.000,0.600
80,08-12-202212:34:52,71.000,100.000,1950.000,9701.998,322.145,12.242,21043.000,103.900,10.720,84.000,0.600
80,08-12-202212:34:53,71.000,100.000,1950.000,9701.998,323.579,12.356,21043.000,103.200,10.971,84.000,0.600
80,08-12-202212:34:54,71.000,100.000,1935.000,9701.998,319.153,11.659,21043.000,103.200,10.459,84.000,0.600
80,08-12-202212:34:55,71.000,100.000,1950.000,9701.998,325.938,12.019,21043.000,102.100,10.691,84.000,0.600
80,08-12-202212:34:56,71.000,100.000,1950.000,9701.998,324.026,11.921,21046.000,102.800,11.135,84.000,0.600
80,08-12-202212:34:57,71.000,100.000,1950.000,9701.998,323.061,11.741,21046.000,102.800,10.568,84.000,0.600
80,08-12-202212:34:58,71.000,100.000,1935.000,9701.998,324.112,11.853,21046.000,102.800,10.933,84.000,0.600
80,08-12-202212:34:59,71.000,100.000,1950.000,9701.998,324.080,11.844,21047.000,102.400,10.622,84.000,0.600
